Runtime dead semantic audit summary
===================================
FILES_SCANNED: 401
GVL_FIELDS_SCANNED: 813
DUT_FIELDS_SCANNED: 883
DUT_TYPES_SCANNED: 122
UNUSED_GVL_FIELDS: 17
UNUSED_DUT_FIELDS: 182
ORPHAN_DUT_TYPES: 31
SEMANTIC_ZOMBIE_PATTERNS: 44
TOTAL_FINDINGS: 274
TRUNCATED: False

[UNUSED_DUT_FIELD] uiCycleTime @ ST_Owen_Analog_Value.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_id @ ST_Valve_Test_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_id @ ST_Gas_Valve_Configuration.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_type @ ST_Gas_Valve_Configuration.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] close_time_seconds @ ST_Gas_Valve_Configuration.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] open_time_seconds @ ST_Gas_Valve_Configuration.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] emergency_open_allowed @ ST_Gas_Valve_Configuration.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Valve_Gas_Status @ ST_BlackBox_Record.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Valve_Water_Status @ ST_BlackBox_Record.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Is_Faulty @ ST_Component_Maintenance.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Is_In_Maintenance @ ST_Component_Maintenance.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Fallback_Value @ ST_Component_Maintenance.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Use_Last_Good_Value @ ST_Component_Maintenance.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] PIN_Code @ ST_Security_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Phones @ ST_Security_Global_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] alarm_duration_seconds @ ST_Security_Global_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] two_person_timeout_seconds @ ST_Security_Global_Config.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_access_attempts @ ST_Security_Global_Config.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Power_Percent @ ST_Boiler_Status.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Current_Power @ ST_Boiler_Status.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Work_Seconds @ ST_Boiler_Status.dut:13 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Work_Hours @ ST_Boiler_Status.dut:14 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Resource_Percent @ ST_Boiler_Status.dut:15 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Last_Start @ ST_Boiler_Status.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] AuthMethod @ ST_TwoFactor_Data.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] rfid_tag @ ST_TwoFactor_Data.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] totp_secret @ ST_TwoFactor_Data.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] last_modified @ ST_TwoFactor_Data.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Weather_Comp_Enabled @ ST_Heating_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Weather_Coef @ ST_Heating_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Night_Reduction @ ST_Heating_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Target_Room_Temp @ ST_Heating_Config.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Priority @ ST_User_Rule.dut:13 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Speed_Percent @ ST_Ventilation_Unit.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Filter_Dirty @ ST_Ventilation_Unit.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Mode @ ST_Ventilation_Unit.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] location @ ST_FloorHeating_Manifold_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] nominal_flow @ ST_FloorHeating_Manifold_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] enable_pump @ ST_FloorHeating_Manifold_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] circuits @ ST_FloorHeating_Manifold_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Avg_Result_Value @ ST_Scenario_Stats.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Stability_Counter @ ST_Scenario_Stats.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Last_Activation @ ST_Scenario_Stats.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Temp_Room @ ST_Zone_Sensors.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Temp_Floor @ ST_Zone_Sensors.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Motion_Active @ ST_Zone_Sensors.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Switch_Physical @ ST_Zone_Sensors.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Light_State @ ST_Zone_Sensors.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Maintenance @ ST_Zone_Sensors.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] enable_floor_heating @ ST_FloorHeating_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] anti_freeze_temp @ ST_FloorHeating_Global_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] overheat_temp @ ST_FloorHeating_Global_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] weather_compensation_enabled @ ST_FloorHeating_Global_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] total_circuits @ ST_FloorHeating_Global_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Outdoor_Temp @ ST_System_State_Summary.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Indoor_Temp @ ST_System_State_Summary.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Floor_Temps @ ST_System_State_Summary.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Humidity @ ST_System_State_Summary.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] CO2 @ ST_System_State_Summary.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Gas_Alarm @ ST_System_State_Summary.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Flood_Alarm @ ST_System_State_Summary.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Fire_Alarm @ ST_System_State_Summary.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Security_Alarm @ ST_System_State_Summary.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Emergency_Two_Stage_Enabled @ ST_Flood_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Valve_Test_Period_Days @ ST_Flood_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Current_Threshold_MA @ ST_Flood_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sensor_to_valve_map @ ST_Flood_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] maintenance_enabled @ ST_Maintenance_Access_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_duration_minutes @ ST_Maintenance_Access_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] requires_two_person @ ST_Maintenance_Access_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] access_level_required @ ST_Maintenance_Access_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] unit_id @ ST_Ventilation_Unit_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] unit_type @ ST_Ventilation_Unit_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] location @ ST_Ventilation_Unit_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] min_speed @ ST_Ventilation_Unit_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_speed @ ST_Ventilation_Unit_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Threshold_Hum @ ST_Ventilation_Unit_Config.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] has_smoke_detector @ ST_Ventilation_Unit_Config.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] current_scenario @ ST_Scenario_Transition_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] min_duration_minutes @ ST_Scenario_Transition_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] transition_allowed @ ST_Scenario_Transition_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] CO2_Threshold @ ST_Ventilation_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Humidity_Threshold @ ST_Ventilation_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Night_Mode_Start @ ST_Ventilation_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Night_Mode_End @ ST_Ventilation_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] global_access_level @ ST_Operator_Zone_Rights.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] zone_masks @ ST_Operator_Zone_Rights.dut:6 - DUT field appears unused as a member access.
